,video_id,title_new,show,viewCount,likeCount,commentCount,publishedDay,durationSec
116,SMRERbhyifM,Smart Phones with Not so Smart Users - S2E20 , The Honest Bunch Podcast ( FKA Frankly Speaking),37212.0,986.0,210.0,Monday,3209.0
117,5f8So1SHmvA,Why Should young people start Investing? S2E19 , The Honest Bunch Podcast ( FKA Frankly Speaking ),76092.0,1473.0,252.0,Monday,3895.0
118,23agjW-zBbI,"Nigerian men loved abroad, taken for granted in Nigeria - S2E18 ", The Honest Bunch Podcast,121748.0,3207.0,1033.0,Monday,3105.0
119,7O876C77wFs,Friendship in Industry  FT Harrysong - S2 E17 , The Honest Bunch Podcast ( FKA Frankly Speaking ),157230.0,3595.0,802.0,Monday,3260.0
120,Hacn1ejO_oc,Should Women shoot their shots Ft Nasty Blaq & Sydney Talker - S2 E16 , The Honest Bunch  Podcast,501534.0,13218.0,2546.0,Monday,3296.0
121,UCs8HYiFPTQ,"Cross Dressers - A hustle or a lifestyle ft James brown, Tobi, and Gracious Brown - S2 E15",,333250.0,6239.0,1459.0,Monday,3210.0
122,H9huLK8ELUQ,Content Creators & Depression - S2 E14 , The Honest Bunch Podcast ( FKA Frankly Speaking ),75704.0,1686.0,336.0,Monday,3139.0
123,pgcAtAO1uzE,Talking Stage - S2E13 , The Honest Bunch Podcast ( FKA Frankly Speaking ),97072.0,1694.0,546.0,Monday,3095.0
124,b7xe-xYX9C8,SOCIETAL STEREOTYPES  - S2E12 , The Honest Bunch Podcast ( FKA Frankly Speaking ),41631.0,933.0,387.0,Tuesday,2869.0
125,1xmS21wOv08,OKAFOR'S LAW; A Myth or a reality? - S2E11 , The Honest Bunch Podcast ( FKA Frankly Speaking ),53412.0,1306.0,207.0,Monday,2189.0
126,GXW5xxXDGeE,Good girl no dey pay  ft Mercy Eke and Pretty Mike of LAgos - S2E10 , The Honest Bunch Podcast,101812.0,2158.0,307.0,Monday,2284.0
127,Jgq6HbLd4zc,Sex for Favours ft Mz Gabbie - S2E9 , The Honest Bunch Podcast ( FKA Frankly Speaking ),74832.0,1555.0,222.0,Monday,2645.0
128,4YCsOdVfPrM,Is Body Enhancement A Reaction To Insecurity ft Blessing CEO - S2E8 , The Honest Bunch Podcast,123672.0,2181.0,325.0,Monday,2489.0
